article_id,article_topic_category
31537479,social_issues
16176713,crime_law
31937572,immigration
18768452,education
21348261,technology
32473797,politics
14213384,religion
9560925,terrorism_security
32804705,politics
27566968,politics
22643643,politics
23427570,terrorism_security
15935637,economy
19890289,economy
27670469,politics
24283993,politics
25653158,politics
8482089,technology
24025744,crime_law
13331003,politics
29425530,terrorism_security
21973069,education
20806046,politics
28225295,politics
25725559,healthcare
10645044,politics
31852643,healthcare
23320792,politics
12821569,economy
11436337,politics
31317723,sports
15316641,politics
30253397,politics
6935101,education
22543214,economy
15849107,economy
20180124,economy
29036977,economy
22819205,terrorism_security
7857305,politics
26195459,politics
14406605,crime_law
10601082,environment
17945286,politics
12434825,politics
20093650,crime_law
11698749,politics
28775343,politics
32709632,technology
19571563,healthcare
26147740,crime_law
29003409,terrorism_security
19764919,terrorism_security
32112371,politics
23854302,politics
21678148,economy
19325141,economy
30253490,politics
22487481,healthcare
32088828,politics
19768238,crime_law
29792195,environment
22094936,terrorism_security
8798142,economy
10822978,politics
7569800,politics
12282910,economy
15530249,politics
9919009,politics
31955707,technology
13578514,education
11193115,healthcare
18375312,economy
29629512,terrorism_security
24099894,technology
26263925,sports
22832603,crime_law
32357819,crime_law
27669712,politics
23458917,healthcare
18915380,economy
16745709,environment
28387572,crime_law
17414176,politics
28659297,economy
29920326,economy
29809990,politics
24050484,economy
15815931,politics
16405795,education
15240629,politics
14450045,crime_law
10674115,politics
31122484,terrorism_security
27509852,economy
13295853,technology
11606920,immigration
17532668,crime_law
21291962,politics
23453424,economy
15809360,technology
15122092,politics
27127736,politics
26672641,technology
31123658,politics
16314768,politics
25901407,politics
17102502,politics
11285469,politics
10251782,economy
20171956,religion
26556228,politics
9236840,politics
23878595,education
14370971,economy
23628583,religion
12786371,politics
11620698,politics
31605288,education
24363093,religion
31599667,economy
28817695,crime_law
27779111,economy
26943330,politics
29694364,politics
26638718,politics
30929037,politics
30384483,economy
23965259,crime_law
22247123,crime_law
31909648,politics
15513300,politics
29219395,politics
11693015,politics
20180340,crime_law
11434593,politics
7536845,economy
26226480,immigration
23334065,economy
17618362,crime_law
7766669,economy
13903146,economy
12073785,education
28790748,crime_law
23296659,education
15907635,crime_law
11907229,politics
19762097,crime_law
19767541,technology
9335818,economy
13886830,politics
10193881,crime_law
32015353,terrorism_security
8765756,religion
26503724,politics
24072170,economy
30507031,technology
22710583,politics
30571799,religion
13814943,crime_law
25911708,terrorism_security
11395088,economy
24343419,politics
31777511,technology
30457819,crime_law
